Country,Total Cases,New Cases,Total deaths,New Deaths,Total Recovered,Active cases,Serious Cases,Serious,Top Cases,Total Tests,Tests,Population
USA,"32,367,532","+6,252","580,823",+67,"24,912,339","6,874,370","9,833","97,333","1,747","428,257,541","1,287,827","332,542,637",
,,,,,,,,,,,,,
India,"15,040,918","+258,457","178,567","+1,399","12,932,574","1,929,777","8,944","10,815",128,"266,538,416","191,650","1,390,753,234",
Brazil,"13,900,134",,"371,889",,"12,344,861","1,183,384","8,318","65,028","1,740","28,600,000","133,796","213,757,680",
France,"5,260,182",,"100,593",,"4,081,014","1,078,575","5,877","80,445","1,538","71,808,202","1,098,182","65,388,253",
Russia,"4,702,101","+8,632","105,582",+389,"4,326,780","269,739","2,300","32,210",723,"125,400,000","858,997","145,984,203",
,,,,,,,,,,,,,
UK,"4,387,820","+1,882","127,270",+10,"4,150,568","109,982",332,"64,367","1,867","140,944,028","2,067,568","68,169,005",
Turkey,"4,268,447","+55,802","35,926",+318,"3,687,590","544,931","3,275","50,183",422,"43,768,759","514,577","85,057,795",
Italy,"3,870,131","+12,694","116,927",+251,"3,248,593","504,611","3,311","64,084","1,936","55,094,444","912,294","60,391,111",
Spain,"3,407,283",,"76,981",,"3,129,234","201,068","2,180","72,853","1,646","44,285,495","946,895","46,769,173",
Germany,"3,144,997","+7,090","80,566",+40,"2,775,200","289,231","4,740","37,442",959,"52,737,238","627,849","83,996,696",
Poland,"2,688,025","+12,153","62,032",+207,"2,311,145","314,848","3,359","71,086","1,640","13,503,602","357,109","37,813,645",
Argentina,"2,677,747",,"59,164",,"2,343,808","274,775","3,977","58,820","1,300","10,090,767","221,656","45,524,419",
Colombia,"2,636,076",,"67,931",,"2,457,888","110,257","4,299","51,373","1,324","13,774,899","268,452","51,312,421",
Mexico,"2,304,096","+4,157","212,228",+535,"1,826,646","265,222","4,798","17,723","1,632","6,400,316","49,231","130,005,664",
Iran,"2,237,089","+21,644","66,732",+405,"1,785,358","384,999","4,766","26,367",787,"14,386,423","169,564","84,843,688",
