Country,Total Cases,New Cases,Total deaths,New Deaths,Total Recovered,Active cases,Serious Cases,Serious,Top Cases,Total Tests,Tests,Population
Philippines,"936,133","+10,098","15,960",+150,"779,084","141,089",750,"8,454",144,"11,153,268","100,720","110,735,003",
Sweden,"900,138",,"13,788",,"730,387","155,963",391,"88,690","1,359","7,847,033","773,166","10,149,222",
Israel,"836,926",+44,"6,334",+3,"828,052","2,540",206,"90,994",689,"13,940,203","1,515,636","9,197,590",
Portugal,"831,001",+441,"16,945",+3,"788,669","25,387",109,"81,687","1,666","9,690,372","952,553","10,173,050",
Pakistan,"756,285","+6,127","16,243",+149,"659,483","80,559","4,446","3,372",72,"11,144,367","49,690","224,277,378",
Hungary,"750,508","+3,706","25,184",+205,"455,029","270,295","1,051","77,847","2,612","5,124,731","531,565","9,640,834",
Bangladesh,"718,950","+3,698","10,385",+102,"614,936","93,629",,"4,331",63,"5,170,067","31,147","165,989,196",
Jordan,"685,973","+2,507","8,246",+68,"638,481","39,246",729,"66,707",802,"6,477,564","629,906","10,283,378",
Serbia,"662,368","+2,069","5,991",+37,"589,535","66,842",218,"76,052",688,"3,683,511","422,937","8,709,355",
Switzerland,"632,399",,"10,508",+3,"568,416","53,475",235,"72,649","1,207","6,538,153","751,096","8,704,812",
Austria,"593,423","+2,076","9,898",+28,"555,218","28,307",546,"65,592","1,094","28,823,897","3,185,957","9,047,172",
Japan,"529,829","+4,611","9,622",+38,"480,793","39,414",723,"4,199",76,"10,886,748","86,287","126,168,345",
Lebanon,"508,503",,"6,886",,"423,848","77,769",774,"74,768","1,012","3,814,173","560,816","6,801,110",
Morocco,"505,811",+364,"8,945",+1,"491,810","5,056",235,"13,576",240,"6,163,347","165,428","37,256,892",
UAE,"497,154","+1,930","1,554",+4,"479,566","16,034",,"49,790",156,"41,767,180","4,182,996","9,984,991",
Saudi Arabia,"404,970",+916,"6,823",+13,"388,702","9,445","1,044","11,491",194,"16,174,957","458,962","35,242,438",
Bulgaria,"385,963",,"15,138",,"305,237","65,588",797,"55,882","2,192","2,357,428","341,322","6,906,762",
Slovakia,"375,974",+638,"11,106",+63,"255,300","109,568",438,"68,838","2,033","2,503,748","458,415","5,461,744",
Malaysia,"375,054","+2,195","1,378",+8,"353,822","19,854",219,"11,472",42,"8,601,726","263,097","32,694,152",
Panama,"360,597",,"6,187",,"350,347","4,063",105,"82,546","1,416","2,292,939","524,886","4,368,453",
Ecuador,"358,157",,"17,641",,"298,604","41,912",618,"20,059",988,"1,225,383","68,630","17,854,857",
Belarus,"344,223","+1,300","2,423",+10,"334,852","6,948",,"36,438",256,"5,666,746","599,855","9,446,852",
Greece,"315,273","+1,829","9,462",+65,"267,947","37,864",841,"30,366",911,"7,468,808","719,364","10,382,515",
Croatia,"307,790","+1,565","6,562",+39,"285,560","15,668",194,"75,345","1,606","1,700,615","416,297","4,085,101",
Azerbaijan,"300,666","+2,144","4,140",+33,"264,403","32,123",,"29,444",405,"3,108,924","304,450","10,211,601",
Georgia,"295,358",+818,"3,939",+14,"280,915","10,504",,"74,153",989,"3,875,789","973,064","3,983,076",
Bolivia,"288,545","+1,185","12,634",+9,"237,313","38,598",71,"24,455","1,071","1,037,899","87,965","11,798,982",
Kazakhstan,"287,001","+2,828","3,384",+20,"246,323","37,294",221,"15,142",179,"9,523,633","502,447","18,954,495",
Nepal,"284,673","+1,015","3,083",+8,"275,300","6,290",,"9,633",104,"2,345,501","79,372","29,550,643",
Tunisia,"283,976",,"9,717",,"234,012","40,247",462,"23,830",815,"1,223,338","102,659","11,916,569",
Palestine,"280,741",+988,"3,017",+34,"247,359","30,365",170,"54,042",581,"1,679,032","323,210","5,194,856",
Dominican Republic,"261,129",+502,"3,418",+4,"218,724","38,987",157,"23,882",313,"1,370,499","125,342","10,934,086",
Kuwait,"255,860",,"1,440",,"239,027","15,393",250,"59,220",333,"2,213,624","512,352","4,320,510",
Paraguay,"248,364",,"5,251",,"203,982","39,131",499,"34,486",729,"1,013,989","140,795","7,201,883",
Moldova,"245,897",+403,"5,571",+23,"231,235","9,091",263,"61,070","1,384","935,872","232,428","4,026,504",
Ireland,"243,508",+270,"4,836",+1,"224,471","14,201",47,"48,883",971,"4,271,454","857,470","4,981,461",
Denmark,"242,633",+902,"2,455",+3,"231,166","9,012",35,"41,773",423,"31,934,942","5,498,063","5,808,399",
Ethiopia,"240,236",,"3,328",,"178,705","58,203","1,027","2,050",28,"2,494,258","21,281","117,205,948",
Lithuania,"233,631",+726,"3,760",+6,"211,411","18,460",173,"86,788","1,397","2,605,277","967,799","2,691,961",
Slovenia,"232,071",+478,"4,159",+6,"215,986","11,926",153,"111,617","2,000","1,130,141","543,555","2,079,165",
Costa Rica,"228,577",,"3,071",,"196,974","28,532",236,"44,548",599,"895,974","174,620","5,130,981",
Egypt,"215,484",,"12,694",,"162,714","40,076",90,"2,075",122,"2,677,262","25,778","103,858,031",
Guatemala,"212,307",,"7,190",,"190,388","14,729",5,"11,680",396,"1,161,896","63,920","18,177,218",
Armenia,"208,520",+547,"3,878",+19,"187,466","17,176",,"70,265","1,307","935,427","315,209","2,967,643",
Honduras,"200,259",+577,"4,954",+20,"76,235","119,070",576,"19,968",494,"558,803","55,718","10,029,110",
Qatar,"195,757",,376,,"173,257","22,124",469,"69,719",134,"1,834,731","653,440","2,807,805",
Bosnia and Herzegovina,"188,994",,"7,788",,"145,863","35,343",,"57,893","2,386","862,452","264,186","3,264,563",
Venezuela,"181,903",,"1,888",,"164,530","15,485",274,"6,411",67,"3,359,014","118,393","28,371,828",
Oman,"180,031","+3,363","1,878",+57,"160,324","17,829",261,"34,562",361,"1,550,000","297,570","5,208,866",
Libya,"171,880",+749,"2,896",+14,"157,010","11,974",,"24,748",417,"929,790","133,875","6,945,208",
Nigeria,"164,207",,"2,061",,"154,325","7,821",11,781,10,"1,838,174","8,746","210,162,742",
Bahrain,"163,113",,592,+4,"151,286","11,235",91,"93,317",339,"3,887,079","2,223,793","1,747,950",
Uruguay,"162,400",,"1,848",,"129,336","31,216",523,"46,623",531,"1,620,817","465,312","3,483,290",
Kenya,"151,653",+366,"2,481",+18,"101,642","47,530",264,"2,772",45,"1,603,332","29,309","54,705,045",
North Macedonia,"147,094",+361,"4,443",+24,"122,810","19,841",124,"70,606","2,133","691,255","331,807","2,083,306",
Myanmar,"142,628",+9,"3,206",,"131,895","7,527",,"2,608",59,"2,558,694","46,778","54,699,109",
Albania,"129,594",+138,"2,342",+2,"101,584","25,668",18,"45,072",815,"603,410","209,860","2,875,298",
Algeria,"119,642",+156,"3,155",+3,"83,397","33,090",21,"2,690",71,"230,861","5,191","44,476,322",
Estonia,"117,554",+543,"1,092",+10,"101,879","14,583",54,"88,570",823,"1,231,295","927,708","1,327,244",
S. Korea,"114,115",+671,"1,797",+3,"104,006","8,312",102,"2,224",35,"8,396,067","163,652","51,304,253",
Latvia,"111,334",+337,"2,053",+5,"101,944","7,337",86,"59,551","1,098","2,122,489","1,135,287","1,869,562",
Norway,"107,369",+225,708,,"88,952","17,709",51,"19,683",130,"4,967,185","910,600","5,454,850",
Sri Lanka,"96,796",+357,618,+1,"93,113","3,065",,"4,505",29,"2,374,627","110,527","21,484,525",
Montenegro,"95,551",+174,"1,429",+2,"90,903","3,219",69,"152,120","2,275","360,958","574,656","628,129",
Cuba,"93,511","+1,037",525,+13,"88,035","4,951",64,"8,260",46,"3,363,901","297,135","11,321,119",
Kyrgyzstan,"91,883",+244,"1,549",+3,"86,907","3,427",25,"13,902",234,"932,375","141,071","6,609,247",
Ghana,"91,663",,771,,"89,530","1,362",9,"2,902",24,"1,043,734","33,046","31,584,523",
Zambia,"90,918",+74,"1,235",+1,"88,718",965,50,"4,839",66,"1,346,505","71,665","18,788,816",
China,"90,499",+16,"4,636",,"85,549",314,5,63,3,"160,000,000","111,163","1,439,323,776",
Uzbekistan,"86,680",+342,638,+2,"84,043","1,999",23,"2,560",19,"1,377,915","40,703","33,852,789",
Finland,"84,131",,887,,"46,000","37,244",34,"15,165",160,"4,264,615","768,737","5,547,559",
